Price,Close,High,Low,Open,Volume,Return,MA10,MA50,Signal,Position,Strategy_Return,Equity_Curve,Market_Curve,Price
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,
Date,,,,,,,,,,,,,,
2020-01-02,72.620,72.680,71.370,71.630,135480400,,,,0,,,,,72.620
2020-01-03,71.910,72.680,71.690,71.850,146322800,-0.010,,,0,0.000,-0.000,10000.000,9902.780,71.910
2020-01-06,72.490,72.530,70.780,71.030,118387200,0.010,,,0,0.000,0.000,10000.000,9981.690,72.490
2020-01-07,72.150,72.750,71.930,72.500,108872000,-0.000,,,0,0.000,-0.000,10000.000,9934.740,72.150
2020-01-08,73.310,73.610,71.850,71.850,132079200,0.020,,,0,0.000,0.000,10000.000,10094.560,73.310
2020-01-09,74.860,75.060,74.040,74.290,170108400,0.020,,,0,0.000,0.000,10000.000,10308.970,74.860
2020-01-10,75.030,75.600,74.530,75.100,140644800,0.000,,,0,0.000,0.000,10000.000,10332.280,75.030
2020-01-13,76.640,76.660,75.230,75.350,121532000,0.020,,,0,0.000,0.000,10000.000,10553.020,76.640
2020-01-14,75.600,76.780,75.480,76.570,161954400,-0.010,,,0,0.000,-0.000,10000.000,10410.520,75.600
2020-01-15,75.280,76.280,74.850,75.400,121923600,-0.000,73.990,,0,0.000,-0.000,10000.000,10365.910,75.280
2020-01-16,76.220,76.330,75.460,75.820,108829200,0.010,74.350,,0,0.000,0.000,10000.000,10495.750,76.220
2020-01-17,77.060,77.070,76.160,76.470,137816400,0.010,74.860,,0,0.000,0.000,10000.000,10611.950,77.060
2020-01-21,76.540,77.140,76.400,76.690,110843200,-0.010,75.270,,0,0.000,-0.000,10000.000,10540.040,76.540
2020-01-22,76.820,77.370,76.720,77.030,101832400,0.000,75.740,,0,0.000,0.000,10000.000,10577.660,76.820
2020-01-23,77.190,77.270,76.320,76.870,104472000,0.000,76.120,,0,0.000,0.000,10000.000,10628.600,77.190
2020-01-24,76.960,78.180,76.770,77.430,146537600,-0.000,76.330,,0,0.000,-0.000,10000.000,10597.970,76.960
2020-01-27,74.700,75.380,73.720,74.970,161940000,-0.030,76.300,,0,0.000,-0.000,10000.000,10286.330,74.700
2020-01-28,76.810,76.990,75.480,75.580,162234000,0.030,76.320,,0,0.000,0.000,10000.000,10577.330,76.810
2020-01-29,78.420,79.270,77.710,78.450,216229200,0.020,76.600,,0,0.000,0.000,10000.000,10798.730,78.420
2020-01-30,78.310,78.360,77.070,77.500,126743200,-0.000,76.900,,0,0.000,-0.000,10000.000,10783.080,78.310
2020-01-31,74.840,78.020,74.540,77.600,199588400,-0.040,76.770,,0,0.000,-0.000,10000.000,10304.980,74.840
2020-02-03,74.630,75.800,73.070,73.580,173788400,-0.000,76.520,,0,0.000,-0.000,10000.000,10276.680,74.630
2020-02-04,77.090,77.280,75.830,76.240,136616400,0.030,76.580,,0,0.000,0.000,10000.000,10615.950,77.090
2020-02-05,77.720,78.520,77.120,78.220,118826800,0.010,76.670,,0,0.000,0.000,10000.000,10702.510,77.720
2020-02-06,78.630,78.630,77.430,77.990,105425600,0.010,76.810,,0,0.000,0.000,10000.000,10827.700,78.630
2020-02-07,77.560,78.380,77.070,78.130,117684000,-0.010,76.870,,0,0.000,-0.000,10000.000,10680.520,77.560
2020-02-10,77.930,77.930,76.070,76.150,109348800,0.000,77.200,,0,0.000,0.000,10000.000,10731.250,77.930
2020-02-11,77.460,78.500,77.240,78.430,94323200,-0.010,77.260,,0,0.000,-0.000,10000.000,10666.510,77.460
2020-02-12,79.300,79.310,77.910,77.910,113730400,0.020,77.350,,0,0.000,0.000,10000.000,10919.810,79.300
2020-02-13,78.740,79.060,78.370,78.570,94747600,-0.010,77.390,,0,0.000,-0.000,10000.000,10842.050,78.740
2020-02-14,78.760,79.000,78.250,78.700,80113600,0.000,77.780,,0,0.000,0.000,10000.000,10844.720,78.760
2020-02-18,77.310,77.490,76.250,76.430,152531200,-0.020,78.050,,0,0.000,-0.000,10000.000,10646.150,77.310
2020-02-19,78.430,78.660,77.560,77.560,93984000,0.010,78.180,,0,0.000,0.000,10000.000,10800.330,78.430
2020-02-20,77.630,78.680,77.120,78.190,100566000,-0.010,78.180,,0,0.000,-0.000,10000.000,10689.530,77.630
2020-02-21,75.870,77.660,75.250,77.220,129554000,-0.020,77.900,,0,0.000,-0.000,10000.000,10447.570,75.870
2020-02-24,72.270,73.720,70.100,72.040,222195200,-0.050,77.370,,0,0.000,-0.000,10000.000,9951.310,72.270
2020-02-25,69.820,73.320,69.350,72.940,230673600,-0.030,76.560,,0,0.000,-0.000,10000.000,9614.240,69.820
2020-02-26,70.930,72.190,69.440,69.440,198054800,0.020,75.910,,0,0.000,0.000,10000.000,9766.760,70.930
2020-02-27,66.290,69.320,66.150,68.130,320605600,-0.070,74.600,,0,0.000,-0.000,10000.000,9128.320,66.290
2020-02-28,66.250,67.480,62.130,62.350,426510000,-0.000,73.360,,0,0.000,-0.000,10000.000,9122.980,66.250
2020-03-02,72.420,73.060,67.310,68.410,341397200,0.090,72.720,,0,0.000,0.000,10000.000,9972.340,72.420
2020-03-03,70.120,73.680,69.270,73.600,319475600,-0.030,72.000,,0,0.000,-0.000,10000.000,9655.620,70.120
2020-03-04,73.370,73.530,71.040,71.850,219178400,0.050,71.500,,0,0.000,0.000,10000.000,10103.490,73.370
2020-03-05,70.990,72.600,70.630,71.620,187572800,-0.030,70.830,,0,0.000,-0.000,10000.000,9775.770,70.990
2020-03-06,70.050,70.480,68.160,68.350,226176800,-0.010,70.250,,0,0.000,-0.000,10000.000,9645.940,70.050
2020-03-09,64.510,67.400,63.740,63.920,286744800,-0.080,69.480,,0,0.000,-0.000,10000.000,8883.030,64.510
2020-03-10,69.160,69.420,65.280,67.170,285290000,0.070,69.410,,0,0.000,0.000,10000.000,9522.800,69.160
2020-03-11,66.750,68.160,65.890,67.230,255598800,-0.030,68.990,,0,0.000,-0.000,10000.000,9192.060,66.750
2020-03-12,60.160,65.440,60.110,62.030,418474000,-0.100,68.380,,0,0.000,-0.000,10000.000,8284.300,60.160
2020-03-13,67.370,67.840,61.310,64.200,370732000,0.120,68.490,74.030,-1,0.000,0.000,10000.000,9276.830,67.370
2020-03-16,58.700,62.790,58.170,58.640,322423600,-0.130,67.120,73.750,-1,-1.000,0.130,11286.470,8083.400,58.700
2020-03-17,61.280,62.430,57.780,59.990,324056000,0.040,66.230,73.530,-1,-1.000,-0.040,10790.200,8438.820,61.280
2020-03-18,59.780,60.590,57.470,58.110,300233600,-0.020,64.880,73.280,-1,-1.000,0.020,11054.340,8232.240,59.780
2020-03-19,59.330,61.280,58.800,59.960,271857200,-0.010,63.710,73.020,-1,-1.000,0.010,11139.040,8169.170,59.330
2020-03-20,55.560,61.030,55.260,59.910,401693200,-0.060,62.260,72.670,-1,-1.000,0.060,11846.210,7650.540,55.560
2020-03-23,54.380,55.380,51.530,55.280,336752800,-0.020,61.250,72.260,-1,-1.000,0.020,12097.870,7488.010,54.380
2020-03-24,59.830,60.030,56.790,57.280,287531200,0.100,60.310,71.960,-1,-1.000,-0.100,10884.150,8239.250,59.830
2020-03-25,59.500,62.590,59.210,60.770,303602000,-0.010,59.590,71.610,-1,-1.000,0.010,10944.110,8193.860,59.500
2020-03-26,62.640,62.690,59.710,59.750,252087200,0.050,59.840,71.350,-1,-1.000,-0.050,10368.190,8625.050,62.640
2020-03-27,60.040,62.010,59.880,61.260,204216800,-0.040,59.100,71.050,-1,-1.000,0.040,10797.460,8267.950,60.040
2020-03-30,61.760,61.930,60.440,60.770,167976400,0.030,59.410,70.760,-1,-1.000,-0.030,10489.320,8503.900,61.760
2020-03-31,61.630,63.620,61.080,61.950,197002000,-0.000,59.440,70.450,-1,-1.000,0.000,10510.730,8486.550,61.630
2020-04-01,58.390,60.280,57.960,59.740,176218400,-0.050,59.310,70.090,-1,-1.000,0.050,11063.770,8040.010,58.390
2020-04-02,59.360,59.410,57.420,58.250,165934000,0.020,59.310,69.740,-1,-1.000,-0.020,10879.160,8174.170,59.360
2020-04-03,58.510,59.550,57.920,58.850,129880000,-0.010,59.600,69.370,-1,-1.000,0.010,11035.500,8056.700,58.510
2020-04-06,63.610,63.770,60.440,60.810,201820400,0.090,60.530,69.100,-1,-1.000,-0.090,10072.800,8759.540,63.610
2020-04-07,62.880,65.850,62.770,65.630,202887200,-0.010,60.830,68.860,-1,-1.000,0.010,10189.460,8658.090,62.880
2020-04-08,64.490,64.800,63.310,63.680,168895200,0.030,61.330,68.620,-1,-1.000,-0.030,9928.660,8879.690,64.490
2020-04-09,64.950,65.450,64.150,65.120,161834800,0.010,61.560,68.350,-1,-1.000,-0.010,9857.020,8943.770,64.950
2020-04-13,66.230,66.330,64.430,65.030,131022800,0.020,62.180,68.100,-1,-1.000,-0.020,9663.550,9119.310,66.230
2020-04-14,69.570,69.860,67.390,67.860,194994800,0.050,62.960,68.000,-1,-1.000,-0.050,9175.510,9579.860,69.570
2020-04-15,68.930,69.400,68.010,68.440,131154400,-0.010,63.690,67.880,-1,-1.000,0.010,9259.260,9492.430,68.930
2020-04-16,69.480,69.850,68.430,69.650,157125200,0.010,64.800,67.730,-1,-1.000,-0.010,9185.680,9567.850,69.480
2020-04-17,68.540,69.550,67.100,69.000,215250000,-0.010,65.720,67.550,-1,-1.000,0.010,9310.320,9438.030,68.540
2020-04-20,67.120,68.270,67.100,67.360,130015200,-0.020,66.580,67.320,-1,-1.000,0.020,9503.580,9242.120,67.120
